id,venue_name,location,owner_url,city_name,phone_number,club_website,google_map,ra_followers,capacity,owner (source of truth),"most_listed_artists {name: string, url: string}","ra_venue_description (allow null, if not null { text: string, external link: {text: string, url: string}",venue_latitude,venue_longitude
17298,@ Bar and Bites,165 Clapham High Street; Clapham; London SW4 755; United Kingdom,https://ra.co/clubs/22343,,,,,,,,,,,
17299,01zero-one,"Soho centre, Peter Street, London, W1F OHS",https://ra.co/clubs/4811,,,,,,,,,,,
17300,06 St Chads Place,"06 St Chad's Place, London, WC1X 9HH",https://ra.co/clubs/113759,,,,,,,,,,,
17301,1 Selesia Buildings,"Unit 6, 1 Silesia Buildings, E83QE",https://ra.co/clubs/127365,,,,,,,,,,,
17302,10 Below,"1 Southend Road, Beckenham BR3 1SD",https://ra.co/clubs/193084,,,,,,,,,,,
17303,100 Club,"100 Oxford Street, London, W1D 1LL",https://ra.co/clubs/28125,,,,,,,,,,,
17304,100 Wardour Street,"100 Wardour Street, W1F 0TN",https://ra.co/clubs/114465,,,,,,,,,,,
17305,104 Central-City,"104 City Rd, London, EC1V 2NR",https://ra.co/clubs/68883,,,,,,,,,,,
17306,119 Wallis Road,"119 Wallis Road, London, E9 5LN",https://ra.co/clubs/195954,,,,,,,,,,,
17307,12 Acklam Road,12 Acklam Road; North Kensington; London W10 5QZ; United Kingdom,https://ra.co/clubs/9235,,,,,,,,,,,
17308,12 Bar Club,26 Denmark Place; Soho; London WC2H 8NL; United Kingdom,https://ra.co/clubs/1042,,,,,,,,,,,
17309,125 Church Street,"125 Stoke Newington Church St, London, N16 0UH",https://ra.co/clubs/96879,,,,,,,,,,,
17310,127,"127 The Parade, Watford WD17 1NA",https://ra.co/clubs/189658,,,,,,,,,,,
17311,12th Knot Rooftop Bar,"20 Upper Ground, South Bank, London SE1 9PD, United Kingdom",https://ra.co/clubs/167353,,,,,,,,,,,
17312,14,"Leicester Square London WC2H 7NG, United Kingdom",https://ra.co/clubs/176279,,,,,,,,,,,
17313,15-19 Garman Road,"15-19 Garman Road, London, N17 0YU",https://ra.co/clubs/182256,,,,,,,,,,,
17314,18 - 22 Houndsditch,"18 Houndsditch, London EC3A 7DB",https://ra.co/clubs/63740,,,,,,,,,,,
17315,18 Hewett Street,"18 Hewett Street, London EC2A 3NN",https://ra.co/clubs/51042,,,,,,,,,,,
17316,180 The Strand,"180 Strand, London WC2R 1EA, United Kingdom",https://ra.co/clubs/162494,,,,,,,,,,,
17317,1882,"70 Mark Lane, London, EC3 7NQ",https://ra.co/clubs/125256,,,,,,,,,,,
17318,19 Greek Street,"19 Greek Street Soho, W1D 4DT, London, United Kingdom",https://ra.co/clubs/168206,,,,,,,,,,,
17319,1920,19-20 Great Sutton Street; Clerkenwell; London EC1V 0DR; United Kingdom,https://ra.co/clubs/19295,,,,,,,,,,,
17320,1c Darnley Road,"1c Darnley Road, Hackney, E9 6QH",https://ra.co/clubs/98241,,,,,,,,,,,
17321,1st Floor Bar,"64 Shoreditch High Street Shoreditch, London, E1 6JJ",https://ra.co/clubs/106093,,,,,,,,,,,
